Current (nA),Spike Count,Firing Frequency (Hz),Sim_type,Para decreased,Flynum
-0.04,0,0.0,const,True,14
-0.03,0,0.0,const,True,14
-0.02,0,0.0,const,True,14
-0.01,0,0.0,const,True,14
0.0,0,0.0,const,True,14
0.01,38,38.0,const,True,14
0.02,41,41.0,const,True,14
0.03,43,43.0,const,True,14
0.04,46,46.0,const,True,14
0.05,46,46.0,const,True,14
0.06,47,47.0,const,True,14
0.07,48,48.0,const,True,14
0.08,48,48.0,const,True,14
0.09,48,48.0,const,True,14
0.1,49,49.0,const,True,14
-0.04,0,0.0,const,False,14
-0.03,0,0.0,const,False,14
-0.02,0,0.0,const,False,14
-0.01,0,0.0,const,False,14
0.0,0,0.0,const,False,14
0.01,4,4.0,const,False,14
0.02,7,7.0,const,False,14
0.03,11,11.0,const,False,14
0.04,14,14.0,const,False,14
0.05,16,16.0,const,False,14
0.06,18,18.0,const,False,14
0.07,18,18.0,const,False,14
0.08,19,19.0,const,False,14
0.09,20,20.0,const,False,14
0.1,20,20.0,const,False,14
-0.04,0,0.0,const,False,3
-0.03,0,0.0,const,False,3
-0.02,0,0.0,const,False,3
-0.01,0,0.0,const,False,3
0.0,0,0.0,const,False,3
0.01,0,0.0,const,False,3
0.02,0,0.0,const,False,3
0.03,0,0.0,const,False,3
0.04,0,0.0,const,False,3
0.05,0,0.0,const,False,3
0.06,0,0.0,const,False,3
0.07,0,0.0,const,False,3
0.08,0,0.0,const,False,3
0.09,0,0.0,const,False,3
0.1,0,0.0,const,False,3
-0.04,0,0.0,const,True,3
-0.03,0,0.0,const,True,3
-0.02,0,0.0,const,True,3
-0.01,0,0.0,const,True,3
0.0,0,0.0,const,True,3
0.01,24,24.0,const,True,3
0.02,31,31.0,const,True,3
0.03,35,35.0,const,True,3
0.04,38,38.0,const,True,3
0.05,40,40.0,const,True,3
0.06,41,41.0,const,True,3
0.07,43,43.0,const,True,3
0.08,43,43.0,const,True,3
0.09,44,44.0,const,True,3
0.1,45,45.0,const,True,3
-0.04,0,0.0,const,False,6
-0.03,0,0.0,const,False,6
-0.02,0,0.0,const,False,6
-0.01,0,0.0,const,False,6
0.0,0,0.0,const,False,6
0.01,0,0.0,const,False,6
0.02,0,0.0,const,False,6
0.03,0,0.0,const,False,6
0.04,0,0.0,const,False,6
0.05,0,0.0,const,False,6
0.06,0,0.0,const,False,6
0.07,0,0.0,const,False,6
0.08,0,0.0,const,False,6
0.09,0,0.0,const,False,6
0.1,0,0.0,const,False,6
-0.04,0,0.0,const,True,6
-0.03,0,0.0,const,True,6
-0.02,0,0.0,const,True,6
-0.01,0,0.0,const,True,6
0.0,0,0.0,const,True,6
0.01,0,0.0,const,True,6
0.02,0,0.0,const,True,6
0.03,0,0.0,const,True,6
0.04,0,0.0,const,True,6
0.05,0,0.0,const,True,6
0.06,0,0.0,const,True,6
0.07,0,0.0,const,True,6
0.08,0,0.0,const,True,6
0.09,0,0.0,const,True,6
0.1,0,0.0,const,True,6
